# Syntax Of Redoc

## Overview

Redoc is a markup language, all special things are in `[]`.

##
string                                  字符串
struct                                  结构体
structure tag                           结构体标签
structured binding declaration          结构化绑定声明式
subexpression                           子表达式
subnormal                               次正规的
subobject                               子对象
subscript operator                      下标运算符
substatement                            子语句
suspension                              暂停
switch statement                        switch 语句
synchronization                         同步
synchronize                             同步
synchronize with                        同步于
syntax                                  语法
syntax notation                         语法表示法
target constructor                      目标构造函数
template                                模板
template argument                       模板实参
template argument deduction             模板实参推断
template parameter                      模板形参
template parameter pack                 模板形参包组
template parameter scope                模板形参作用域
template non-type parameter             模板非类型形参
template template parameter             模板模板形参
template type parameter                 模板类型形参
temporary                               临时对象
temporary expression                    临时对象表达式
temporary materialization conversion    临时对象实质化转换
terminate                               终止
thread                                  线程
thread_local specifier                  thread_local 说明符
thread-local variable                   线程局部变量
thread of execution                     执行线程
thread storage duration                 线程存储期
throw                                   抛出
token                                   记号
top-level cv-qualifier                  顶层 cv 限定符
traceable pointer                       可追踪指针
translation phase                       翻译阶段
translation unit                        翻译单元
trivial class                           平凡类
trivial copy constructor                平凡复制构造函数
trivial default constructor             平凡默认构造函数
trivial destructor                      平凡析构函数
trivial move constructor                平凡移动构造函数
trivial type                            平凡类型
trivially copyable class                可平凡复制类
trivially copyable type                 可平凡复制类型
truncation                              截断
tuple                                   元组
type                                    类型
type identification                     类型标识
type pun                                类型双关
type specifier                          类型说明符
typedef declaration                     typedef 声明式
typedef specifier                       typedef 说明符
typename specifier                      typename 说明符
well-formed                             良构的
unary                                   一元
unary fold                              一元折叠
unary left fold                         一元左折叠
unary minus operator                    一元减运算符
unary operator                          一元运算符
unary plus operator                     一元加运算符
unary right fold                        一元右折叠
unblock                                 解除阻塞
unscoped enumeration                    无作用域枚举
unscoped enumerator                     无作用域枚举符
undefined                               未定义的
underlying type                         底层类型
unevaluated operand                     免求值操作数
unexpanded parameter pack               未展开形参包组
union                                   联合体
union-like class                        类似联合体的类
universal character name                通用字符名
unnamed class                           无名类
unnamed enumeration                     无名枚举
unnamed namespace                       无名命名空间
unqualified name                        未限定名
unsequenced                             无顺序的
unsigned                                无符号
unsigned integer type                   无符号整数类型
unspecified                             未指明的
upper bound                             上界
user-declared                           用户声明的
user-defined conversion                 用户定义转换
user-defined literal                    用户定义字面量
user provided function                  用户提供的函数
using declaration                       using 声明式
using directive                         using 指令
usual arithmetic conversions            一般算术转换
valid                                   有效，合法
value                                   值
value category                          值类别
value computation                       值计算
value-initialize                        值初始化
value representation                    值表示
variable                                变量
variable template                       变量模板
variadic function                       变参函数
variadic template                       变参模板
variant                                 变体
variant member                          可变成员
viable                                  可行的
virtual                                 虚的
virtual base                            虚基类
virtual function                        虚函数
virtual function call                   虚函数调用
virtual specifier                       virtual 说明符
visible                                 可见
visit                                   视察，访问
void                                    空
while statement                         while 语句
whitespace                              空白，空格
wide character                          宽字符
xvalue                                  临限值
yield-expression                        产出表达式
zero-initialization                     零初始化
